col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,Category
DP168,Samosa Chaat Sticker,500,,5,0,0,FF677,Chicken & Sweetcorn Pasties (150g),30,1,,18.72,0,0,,Frozen Food
DP170,Karachi Bun Kebab Sticker,500,,5,0,0,,,,Total:,0,,0,0,,Frozen Food
DP171,Chilli and Lemon Chips Sticker,500,,5,0,0, Dry Food ,,,,,,,,,Frozen Food
DP173,Tikka Naan Sticker,500,,5,0,0,Item Code,Product,Portion per pack/box,Containers/ pack per box,Order,Price,Order Value,Weight (Kg),,Frozen Food
DP175,Pink Chaii Cake Sticker,500,,5,0,0,FPBC109,Limbu Pani (5L),90,1,,9.53,0,0,,Frozen Food
DP176,Coffee Cake Sticker,500,,5,0,0,FPFC210,Pink Chaii Mix (50 per box),8,50,,70,0,0,,Frozen Food
DP178,Halwa Puri Sticker,500,,5,0,0,FPFC201,Garam Choc (10 x 1 kg),40,10,,75,0,0,,Frozen Food
DP169,Date Machine Sticker,2000,,10,0,0,DF409,Karak Chaii (25 per box),18,25,,68,0,0,,Frozen Food
DP188,Delivery Sticker,500,,10,0,0,FPFC203,Karak Coffee (50 per box),9,50,,92,0,0,,Frozen Food
DP190,Yogurt and Mint Sticker,500,,5.7,0,0,FPFC204,Karak Chaii Sugar free (50 per box),9,50,,70,0,0,,Frozen Food
DP191,Mogo Sauce Sticker,500,,5.7,0,0,FPFC205,Chaii Latte (1kg),40,1,,10.39,0,0,,Frozen Food
DP192,Chaiiwala Chutney Sticker,500,,5.7,0,0,DF427,Vegan Chaii Powder,50,1,,28.75,0,0,,Frozen Food
DP198,English-ish Breakfast Sticker,500,,5,0,0,FPFC227,Monin Gingerbread Syrup (1L),100,1,,8.5,0,0,,Frozen Food
DP199,Cream Cheese Paratha Sticker,500,,5,0,0,FPFC228,Monin Caramel Syrup (1L),100,1,,8.52,0,0,,Frozen Food
DP200,Grilled Cheese Naan Sticker,500,,5,0,0,FPG306,Lemon Tea Syrup (1L),100,1,,11.5,0,0,,Frozen Food
DP201,Desi Mac and cheese Sticker,500,,5,0,0,DF440,French Vanilla syrup (1L),100,1,,8.25,0,0,,Frozen Food
DP202,Aloo Tikka Burger Sticker,500,,5,0,0,FPFC240,Blue Curacao Syrup (70cl),70,1,,6.67,0,0,,Frozen Food
DP203,Samosa Burger Sticker,500,,5,0,0,FPFC239,Strawberry Syrup SF (1L),100,1,,6.18,0,0,,Frozen Food
DP204,Loaded Fries Sticker,500,,5,0,0,DF479,Rooh Afza Syrup (12x800ml),26,1,,3.65,0,0,,Frozen Food
DP205,Kheema & Roti Sticker,500,,5,0,0,DF480,Watermelon & Lime Syrup (1.5L),33,1,,12.5,0,0,,Frozen Food
DP206,Pani Puri Sticker,500,,5,0,0,DF481,Tahitian Lime & Mint (1.5L),33,1,,12.5,0,0,,Frozen Food
DP207,Chicken Tikka & Chips Sticker,500,,5,0,0,DF421,Speculouse Sauce (1kg),100,1,,7.92,0,0,,Frozen Food
DP208,Pizza Paratha & Chips Sticker,500,,5,0,0,DF444,Raspberry Topping Sauce (1kg),100,1,,10,0,0,,Frozen Food
DP209,Shakshuka Sticker,500,,5,0,0,DF442,Pistachio Sauce (1L),100,1,,8.95,0,0,,Frozen Food
DP210,Cheese Chutney Toastie Sticker,500,,5,0,0,DF451,Luxury White Chocolate Sauce,50,1,,10,0,0,,Frozen Food
DP211,Butter Chicken Rice Bowl Sticker,500,,5,0,0,BBA210,Milk Choc Topping Sauce,50,1,,10,0,0, ,Frozen Food
DP212,Chana Masala Rice Bowl Sticker,500,,5,0,0,DF422,Frappe Powder (2kg),40,1,,23.28,0,0,,Frozen Food
DP213,Crispy Fried Paratha Sticker,500,,5,0,0,DF470,Chicken Tikka Crisps x 24,24,1,,12,0,0,,Frozen Food
DP214,Crispy Aloo Pakora Sticker,500,,5,0,0,DF456,Chilli & Lime Crisps x 24,24,1,,12,0,0,,Frozen Food
DP219,Aloo Tikki Chaat Sticker,500,,5,0,0,DF457,Decaf Coffee Beans,75,1,,19.27,0,0,,Frozen Food
DP220,Mixed Kebab Wrap Sticker,500,,5,0,0,DF450,Coffee Beans,75,1,,18.1,0,0,,Frozen Food
DP221,Lamb Kheema & Cheese Wrap Sticker,500,,5,0,0,FPFC214,Cake Rusk (50 per box),50,1,,25.5,0,0,,Frozen Food
DP222,Kebab Wala Wrap Sticker,500,,5,0,0,FPFC216,Bombay Mix (40x50g),40,1,,18.75,0,0,,Frozen Food
DP223,Chicken Tikka Bombay Bowl Sticker,500,,5,0,0,FPFC218,Tandoori Peanuts (40x50g),40,1,,18.75,0,0,,Frozen Food
DP224,Lamb Kheema Bombay Bowl Sticker,500,,5,0,0,FPFC215,Chilli Lemon Corn Nuts (40x50g),40,1,,18.75,0,0,,Frozen Food
DP225,Butter Chicken & Slaw Toastie Sticker,500,,5,0,0,DF473,Madeira Loaf Cake (24),1,24,,17.16,0,0,,Frozen Food
DP226,Cheese & Masala Beans Toastie Sticker,500,,5,0,0,DF472,Blueberry Muffin (20),1,20,,13.75,0,0,,Frozen Food
